Search_time,Distance_driven,No_of_lots,Fuel,CO2,CO,NOX,HC
190,1.29,1.75,251,745,5.25,0.572,0.402
203,1.32,1.8,276,812,5.52,0.599,0.447
198,1.31,1.77,257,760,5.31,0.582,0.413
206,1.32,1.78,280,819,5.57,0.6,0.458
207,1.34,1.84,285,835,5.67,0.617,0.464
217,1.32,1.78,262,775,5.38,0.592,0.419
221,1.34,1.8,263,775,5.45,0.597,0.423
219,1.31,1.77,264,776,5.39,0.588,0.423
223,1.33,1.81,263,776,5.45,0.595,0.42
206,1.31,1.78,261,770,5.35,0.582,0.416
211,1.31,1.77,262,769,5.38,0.586,0.418
206,1.33,1.79,304,876,5.77,0.618,0.499
203,1.3,1.79,262,773,5.37,0.585,0.421
215,1.33,1.8,259,765,5.4,0.589,0.415
214,1.33,1.82,282,825,5.64,0.608,0.458
201,1.31,1.78,257,755,5.32,0.58,0.408
223,1.34,1.83,280,818,5.63,0.609,0.455
218,1.33,1.79,262,774,5.41,0.592,0.42
226,1.35,1.83,272,798,5.55,0.604,0.438
213,1.33,1.8,260,771,5.4,0.59,0.415
183,1.28,1.7,245,721,5.11,0.558,0.386
207,1.31,1.8,259,770,5.41,0.59,0.419
221,1.31,1.76,258,755,5.3,0.58,0.412
201,1.32,1.79,284,827,5.6,0.603,0.462
217,1.34,1.81,278,817,5.59,0.607,0.45
199,1.3,1.78,258,757,5.3,0.581,0.411
216,1.31,1.79,283,824,5.59,0.601,0.461
221,1.33,1.8,264,778,5.44,0.592,0.423
187,1.29,1.71,249,735,5.17,0.569,0.396
191,1.29,1.74,253,750,5.26,0.576,0.407
202,1.31,1.76,254,753,5.27,0.579,0.406
208,1.33,1.82,267,790,5.51,0.599,0.427
195,1.31,1.75,260,766,5.32,0.58,0.418
199,1.31,1.77,264,776,5.38,0.588,0.426
200,1.31,1.75,257,762,5.33,0.582,0.412
205,1.32,1.77,260,764,5.36,0.585,0.415
209,1.35,1.84,267,787,5.5,0.6,0.426
198,1.32,1.77,264,775,5.4,0.589,0.422
207,1.32,1.81,262,773,5.42,0.591,0.419
228,1.32,1.82,266,782,5.48,0.596,0.43
212,1.3,1.77,255,755,5.27,0.578,0.409
204,1.33,1.8,260,766,5.4,0.59,0.414
225,1.34,1.82,273,804,5.56,0.607,0.442
224,1.33,1.78,262,772,5.41,0.59,0.421
210,1.33,1.78,263,773,5.39,0.589,0.421
211,1.32,1.78,260,769,5.39,0.59,0.415
221,1.35,1.83,266,790,5.54,0.599,0.429
225,1.31,1.77,257,760,5.29,0.582,0.41
221,1.35,1.85,275,811,5.61,0.609,0.446
212,1.33,1.82,262,773,5.44,0.594,0.418
